property
error
0.0036233962
0.0036233962
0.0036233962
0.0051700175
0.0062041283
0.0036233962
0.0036233962
0.003059566
error
0.0036233962
0.003059566
0.0036233962
0.0064617097
error
error
0.005248666
error
0.0053777993
error
0.0036233962
0.013946295
0.0053777993
0.0036233962
0.0036233962
error
error
0.0036233962
0.006939858
error
0.00403139
error
error
0.005248666
error
0.0064617097
0.0036233962
error
error
0.0037401915
0.0036233962
0.0064617097
error
error
0.0036233962
0.003059566
0.013928026
error
error
error
0.0041698515
0.0036233962
error
error
0.00403139
error
0.0036233962
0.006438285
0.0036233962
0.0036233962
error
0.0036233962
0.0036233962
0.0036233962
error
0.005248666
0.0064617097
0.0030595958
0.0030595958
0.0034539998
0.0042625964
error
0.007505089
0.002884686
error
0.0064617097
0.0092665255
